node_id,sampling_interval_ms,deadband_value,deadband_type,active
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_ODeVK_uHpTUQziqy,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_QuSTB_UJOEFekhHt,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_UnQvS_ZlocXszLCU,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_VbUNO_rxQwpMctuC,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_eLNUa_FJjXfkNlgn,1000,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_npURq_dOzfbUQliH,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_pGTyX_bRWtyNZXHc,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_BlAJh_SOilcWrZNy,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_BmDqX_ZJRgncqokv,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_DhEwk_eGtlbPnSzp,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_JlFUb_TbSMEraems,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_lrjRw_XhzqUWpFAD,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_AfMFp_EPcpCdeNJh,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_BpCMV_PYopOWijZw,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_DAhcn_vdcXagwDsb,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_DKbrz_GeCJbysqZa,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_XramI_DGimnOrTQu,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_dpLuG_KRgakdYurD,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_fRlnp_gDRLUajPMd,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_mFnDE_JeLlUCiEzQ,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_vtSzB_ubYHeoWXaT,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_zwYoy_IkgCxflQzM,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AK_PVIHR_aiCsOKGoNI,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AK_jAgOP_FNcWkPzMUH,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_AJRrd_EvFnhQMKyw,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_auHrs_ZkXzxdWPRB,1000,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_qgtCX_mztfbixpWG,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_rvwkJ_dRANVcLGXS,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AL_zsKwh_ZVMxHveUYC,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_HvOoY_CQthGJZRAW,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_JBWbY_zYkbMyvxWV,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_WkCeb_xVWcHoJLEl,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_dWEpa_vNVRLSPzhK,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_dlVgr_rnEfOKDPWZ,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_gfMjT_BLTZOjCYAn,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AM_xRVlQ_OgXpBzAefP,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_AUIjm_iUCQqogjpW,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_IWAjf_lqjJusNHGd,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_ZnJgI_KhuXjbgEJP,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_kqfje_rAeHlVdUnG,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AN_skjyw_AKMoROTVpb,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AO_ASWvP_ucSkZmsopg,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AO_pJlVv_pLSiHvYWNj,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AO_vNrPa_eFKYyHrBRw,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AP_Fgzmq_NLoOQjxKSy,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AP_JvZbi_MDdILEXthn,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AP_MdSfw_TcgJaVOvxA,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AP_ZaOno_wDSBeZvlXz,1000,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_AafYe_ZfkzviIpBc,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_GYzsU_TzeZJxKBRl,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_PSvcu_cLujzVkhXE,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_TUORk_DnItBjqbce,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_ZwNUn_RGVPUaKxst,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_diwcl_nrIoDzjRAM,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_ihuKq_KTenpQrlgf,1000,9,RELATIVE,0

ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_kpnCj_nchxCdpZHS,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AQ_wJmhv_yXzlKSsNiE,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_FcLHK_YPHnLybfud,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_SrgLX_JyuYEUkfRA,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_afwQS_hjZClnvaJo,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_fDbHM_tbVHuTvnIk,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_kjUDo_CYhTwKazQs,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_mEYrH_JohMjFkaiG,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_qOczk_cpPALyaSbd,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_wLmnP_JNfebMOsaX,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AR_xDqNe_qTOwfJGnoI,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_Egrxi_BIJFLAubyN,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_SFTQL_MQrGTODFfR,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_dctPJ_dNgUAmCzre,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_hRYIC_UkjTHscZMI,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AS_jHSlN_TyRJIUOoba,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_LORvQ_oUFhRWetCp,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_RASbx_DXYjuqlIdC,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_TgKkD_wuAMomSOdE,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_foJHx_unLbCTvdgp,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_nwMyO_zKyJAgTslf,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_tTXca_twPFmEKBXq,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_zhsCT_eiztOdpGLy,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AT_zjcSb_qzPoACMHXL,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_BZgqU_HTpjXGNDda,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_KVyEo_AYzENnSfyu,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_SfivG_fQyDkWvMZI,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_feKyA_nfRectuJvC,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_oHRwU_WovfGbSBCg,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_oWzRN_LlErongRXi,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_srRfi_wePOAnDERI,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_uphsj_CodkBZlmNT,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AU_vgEhm_blVTgPeYKH,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_BeLvq_KZxGnVRfHE,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_SdalC_MdAsSBTJHE,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_fgPMd_rjSpwQZNPn,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_vKAsl_YGjmuLleHD,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AV_wQhki_YzAcqXgFiJ,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_GAqRy_xUoAhZQNgF,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_GoXkC_eamwfvcyIV,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_NzpDH_OKuJFghziM,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_VIGBj_cFfAEsVPQh,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AW_WgGcH_oVxrXIEQqi,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_KYtFb_jbziMqnBKD,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_NMAjR_QsTkDEqCLw,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_exlRH_qdHiQRYahb,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_flgiI_rwnQxAEXyj,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_hRLSz_umbgtkefln,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_iuWgR_vRgXFcwCZy,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AX_yHkLM_nJZPjAivIG,500,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_DcKTv_GShNfpbyQZ,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_JzdOc_DKOHmdcTMC,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_OEXxn_IzwELKFAjU,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_QOjrW_NuVxrZFeRI,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_XhKRJ_AjrwzYvOlW,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_XsOFG_kcYoHFQjGl,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_cmJKk_IbiEzTKueM,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_rdthL_PundsiVSec,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AY_vtXNl_YJnPoRaQLq,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_Haply_QiGUqIYrWo,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_OHtQk_cfhyJblOoq,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_PMGNT_iWcXsDCaZU,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_TNsre_yNhdKsDXWm,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_ZtoTX_cBOKFCqgnf,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_hfyta_NelJtnQwXD,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_oKckN_BYJIjsCaUV,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_uoGkg_QDvHJuYhac,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_uvwNx_lwGrhURYzo,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_xPOZy_nfXQWkwdEI,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_xZqyf_RFqATJpfxt,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.AZ_yCzUT_hKzeMiYpwL,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_qbUpE_gIfLNqTUlb,500,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_vfceA_HIBWfjwues,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aa_vsiyw_UwQshGpYMC,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ab_NmwiW_WIUxrytnmB,1000,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ab_TnSgV_pwvTDboILy,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_FrxZs_riLhAPwkBf,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_JcVSM_qeslanTWbO,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_Ncybp_XrfWzvZtDl,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_fsHIK_gfCRbFPtOm,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_hjPkM_oQxRkIcpgC,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ac_knysL_BsROMpiUvL,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_CuVgw_eIYBVsnHpT,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_DKljc_UbDegFSMsy,500,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_ERapK_XESTQPbxkH,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_SYqug_rPEmpTFvwS,100,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_kCxms_cvWLSTgeEh,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_uiESb_rknFsPgMJB,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_ujrtG_KJNzmubFsT,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ad_vYpVs_FELNSieQaD,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_MenHV_wIvxpSPCEh,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_SXJcV_VKdjWwYxcZ,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_djQos_MIjNZFSzbG,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_ldtuW_FywWaYGoeS,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ae_urqJU_TcDRFYQGmC,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Af_FcabM_PnGJgkEwFf,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ag_apYvB_AThSCscJBz,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ag_sRHCh_KldVLprYmw,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ah_IvCjS_VoLhEGCgAq,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ah_RYfuo_whlUpWXIFm,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ah_TdvIC_pOdGVFDkml,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ah_ncwOR_rHqGzKdSvO,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_FGKmC_DfrWQwmeti,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_NTgGv_YknBedCZGH,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_NvEKD_CdHVsEhMfK,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_tmDQh_pJcIWlnMTD,500,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_toTqS_wXSEJIAZqx,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ai_wMLns_uUgHXKMZNa,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_GLNIR_xYtikBXKqZ,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_IMsHW_ICsSMiJPUF,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_MjNqi_uzBOYbWhSx,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_SMxho_qrAiBkfjVx,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_goyJR_unVFWNLzgc,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_inIqu_pnbTGXOByU,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Aj_sYOqA_uztGWhZUgw,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_FQwsD_JLtlMrReKu,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_Ljmgn_YxnqeZomXh,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_SAdsk_QAPivXknrU,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_iISmw_yUvmnXYxqd,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_pygDq_AsCHMEczIF,100,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_svyIh_QngembXZah,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_vxpUu_VxNjyPHMcG,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ak_wgIWC_puOCJAFwiv,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_DSzXI_lNqTiGoMUx,500,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_Ekcjq_fSlnsaHGcN,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_RgmEv_NABXwhDzIa,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_YeBhZ_LXaTxYWOiP,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_cTCAy_MvWuCsYyHT,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_jftBT_BwyVEuONaH,1000,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_oCaMW_oZglHtwcqC,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Al_yhDKH_EvWuwzFoGh,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_hGCpP_rgvKmsUBfp,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_hzTYA_EmpMtKbylO,1000,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_jAiay_ZgYotjBnph,1000,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_rigBO_hvliSnxXjA,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Am_xjazd_LGMOfNradD,500,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.An_QyCIN_ZGoiwltpCr,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.An_SIEwe_gbTApYeolS,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.An_XdTiw_dnPWKTIQyc,500,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.An_YdZlb_NUPHeohEfl,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.An_fMOjA_sTgFwzYefj,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.An_ktALm_orBTQUvKlu,100,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.An_rdRYj_UjSeYCdGXt,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.An_tQJFW_nFuQXRahKZ,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.An_xikcr_tShvyjETWk,100,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_CAmYS_rjcUNRIokW,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_CZXQI_kWcHaFmgqf,1000,88,ABSOLUTE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_GHzrx_nNKYtbduzG,500,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_HrgqB_EibrTfjDZq,1000,9,RELATIVE,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_VkDAC_zqxePTiMUN,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_bICrG_WcGAsDyhuf,100,88,ABSOLUTE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_jhzIC_YdtNgEJxSu,500,,,0
ns=6;s=StarGateway:Shaco.Jinx.CU.Ao_qjGUz_HrChJYxled,1000,9,RELATIVE,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ap_LPjNf_AtuJoSldrx,100,,,1
ns=6;s=StarGateway:Shaco.Jinx.CU.Ap_awVIk_DmEpjeosHT,100,88,ABSOLUTE,1
